127.0.0.1 - - [08/Apr/2022:16:34:19 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Apr/2022:16:36:45 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [08/Apr/2022:16:36:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Apr/2022:16:36:48 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:03:30 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:04:34 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:11:09 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:11:35 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:14:15 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:15:16 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:15:18 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:16:10 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:16:16 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:16:18 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:16:20 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:16:21 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:16:22 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:16:22 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:20:45 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:20:48 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:20:53 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:21:00 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:23:58 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:24:21 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:41 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:42 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:42 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:42 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:42 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:43 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:46 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:46 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:46 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:25:46 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:00 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:10 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:10 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:11 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:11 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:11 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:14 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:14 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:14 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:15 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:15 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:29 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:30 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:30 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:26:38 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:27:57 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:28:03 +0530] "GET /curdoperationsusingmvc/employee/display HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:30:22 +0530] "GET /curdoperationsusingmvc/employee/insert HTTP/1.1" 200 3338
